from,to,relation,weight
nds,alva,3,
nds,azat,3,
nds,chri,3,
nds,kava,3,
nds,maks,3,
nds,prim,3,
nds,prot,3,
nds,runa,3,
nds,skep,3,
alva,nds,3,
azat,nds,3,
chri,nds,3,
kava,nds,3,
maks,nds,3,
prim,nds,3,
prot,nds,3,
runa,nds,3,
skep,nds,3,
svp,bloo,3,
svp,juli,3,
svp,komb,3,
bloo,svp,3,
juli,svp,3,
komb,svp,3,
bomb,drsu,3,
bomb,86ki,3,
bomb,herz,3,
bomb,ptk,3,
bomb,sadi,3,
drsu,bomb,3,
86ki,bomb,3,
herz,bomb,3,
ptk,bomb,3,
sadi,bomb,3,
takt,micr,3,
takt,vill,3,
micr,takt,3,
vill,takt,3,
alva,runa,1,
runa,alva,1,
deee,vill,4,2
vill,deee,4,2
ptk,86ki,4,2
86ki,ptk,4,2
chri,prot,4,2
prot,chri,4,2
toni,lapa,2,1
lapa,toni,2,1
lapa,urba,3,2
lapa,bus,4,2
lapa,holy,4,2
lapa,yann,4,2
lapa,twan,4,2
lapa,xavi,1,1
lapa,goet,4,2
lapa,gals,1,1
lapa,dert,4,2
lapa,tum,4,2
urba,lapa,3,2
bus ,lapa,4,2
bus ,skun,1,1
bus ,dert,4,2
bus ,holy,4,2
bus ,yann,4,2
bus ,twan,4,2
bus ,xavi,1,1
bus ,goet,4,2
bus,2,1,1
bus,tum,4,2
skun,bus,1,1
dert,lapa,4,2
dert,bus,4,2
dert,holy,4,2
dert,yann,4,2
dert,twan,4,2
dert,xavi,4,2
dert,goet,4,2
dert,gals,4,1
dert,tum,4,2
holy,lapa,4,2
holy,bus,4,2
holy,dert,4,2
holy,yann,4,2
holy,twan,4,2
holy,xavi,1,1
holy,goet,4,2
holy,gals,1,1
holy,tum,4,2
yann,lapa,4,2
yann,bus,4,2
yann,dert,4,2
yann,holy,4,2
yann,twan,4,2
yann,xavi,1,1
yann,goet,4,2
yann,gals,1,1
yann,tum,4,2
twan,tbu,4,2
twan,lapa,4,2
twan,bus,4,2
twan,dert,4,2
twan,holy,4,2
twan,yann,4,2
twan,xavi,1,1
twan,goet,4,2
twan,gals,1,1
twan,tum,1,1
tbu,twan,4,2
xavi,lapa,1,1
xavi,bus,1,1
xavi,dert,4,2
xavi,holy,1,1
xavi,yann,1,1
xavi,twan,1,1
xavi,gowt,1,1
xavi,tum,1,1
goet,lapa,4,2
goet,bus,4,2
goet,dert,4,2
goet,holy,4,2
goet,yann,4,2
goet,twan,4,2
goet,xavi,1,1
goet,gals,1,1
goet,tum,4,2
gals,lapa,1,1
gals,bus,1,1
gals,dert,4,2
gals,holy,1,1
gals,yann,1,1
gals,twan,1,1
gals,goet,1,1
gals,tum,1,1
tum,lapa,4,2
tum,bus,4,2
tum,dert,4,2
tum,holy,4,2
tum,yann,4,2
tum,twan,4,2
tum,xavi,1,1
tum,goet,4,2
tum,gals,1,1
rapb,lapa,3,
rapb,bus,3,
rapb,holy,3,
rapb,yann,3,
rapb,twan,3,
rapb,xavi,3,
rapb,goet,3,
rapb,gals,3,
rapb,dert,3,
rapb,tum,3,
lapa,rapb,3,
bus,rapb,3,
holy,rapb,3,
yann,rapb,3,
twan,rapb,3,
xavi,rapb,3,
goet,rapb,3,
gals,rapb,3,
dert,rapb,3,
tum,rapb,3,
reco,tbu,3,
reco,omik,3,
tbu,reco,3,
omik,reco,3,
rata,dcv,3,
dcv,rata,3,
onen,ukvali,3,
ukvali,onen,3,
onen,nds,3,
nds,onen,3,
ukv,nds,3,
nds,ukv,3,
eine,gals,3,
eine,chid,3,
eine,gory,3,
eine,ills,3,
gals,eine,3,
chid,eine,3,
gory,eine,3,
ills,eine,3,
tbu,tai,4,2
tbu,dcv,1,1
dcv,tbu,1,1
dcv,cro,1,1
cro,dcv,1,1
tai,tbu,4,2
alva,azat,1,1
alva,bloo,1,1
alva,dert,1,1
alva,frey,1,1
alva,gals,1,1
alva,kava,1,1
alva,maks,1,1
alva,phiz,1,1
alva,prot,1,1
alva,skep,1,1
alva,toni,1,1
alva,ukv,1,1
azat,alva,1,1
