id,name,type,sex,age_real,politics,county,born in,spotify-listener,criminal,religion,founding,exit
ast,A3stus,2,N.A.,N.A.,"NPD, Barnimer Freundschaft",Brandenburg und Berlin ,,N.A.,ja,N.A.,2014,ja
aaro,Aaron Scotch,1,m,38,N.A.,Dresden,DDR,11.734,nein,N.A.,2006,2020
acaz,Acaz,1,m,N.A.,N.A.,Rheinland-Pfalz,N.A.,11.369,nein,N.A.,2009,nein
alva,Alva,1,w,N.A.,N.A.,N.A.,N.A.,2.382,N.A.,N.A.,N.A.,N.A.
assi,AssiH,1,m,N.A.,N.A.,N.A.,N.A.,169.525,N.A.,N.A.,N.A.,N.A.
azat,Azatro,1,m,N.A.,N.A.,N.A.,N.A.,1.618,N.A.,N.A.,N.A.,N.A.
beng,Bengalo Dobermann,1,m,N.A.,N.A.,Sachsen,N.A.,2.604,nein,N.A.,N.A.,N.A.
blk,Blokkmonsta,1,m,40,N.A.,Berlin,Berlin,62.276,ja,N.A.,N.A.,N.A.
bloo,Bloody32,1,m,N.A.,Zukunft Heimat,Brandenburg,N.A.,1.618,nein,N.A.,2013,N.A.
bzn,Bözemann,1,m,44,Kampf der Niebelungen,Baden-Württemberg,N.A.,10.622,ja,N.A.,N.A.,N.A.
bus,Bustek,1,m,34,N.A.,Berlin,Berlin,1.907,nein,N.A.,N.A.,N.A.
came,Came,1,m,N.A.,N.A.,Berlin,N.A.,18.089,ja,N.A.,N.A.,N.A.
casp,Casper,1,m,42,N.A.,Nordrhein-Westfalen,Nordrhein-Westfalen,1.436.535,N.A.,N.A.,N.A.,N.A.
chid,Chidvillas,2,N.A.,N.A.,N.A.,N.A.,N.A.,470,N.A.,N.A.,2017,N.A.
chri,Chris Ares,1,m,31,Neue Rechte/Identitäre Bewegung,Bayern,Baden-Württemberg,N.A.,N.A.,N.A.,2014,2020
conc,Cøncept,1,m,N.A.,N.A.,N.A.,N.A.,4.949,N.A.,N.A.,N.A.,N.A.
cro,Cro,1,m,34,N.A.,Bali,Baden-Württemberg,4.952.001,nein,N.A.,2011,N.A.
deee,Dee Ex,1,w,42,N.A.,Berlin,Berlin,N.A.,nein,N.A.,2008,N.A.
dert,Der Typ,1,m,N.A.,Corona-Rebellen Düsseldorf,Nordrhein-Westfalen,N.A.,4.182,ja,N.A.,N.A.,N.A.
diss,Dissziplin,1,m,39,Identitäre Bewegung,Sachsen,Brandenburg,11.458,nein,N.A.,2005,N.A.
dcv,DCVDNS,1,m,36,N.A.,Saarland,Saarland,114.137,nein,N.A.,2007,N.A.
drsu,Dr. Surabi,1,m,N.A.,N.A.,N.A.,N.A.,27.571,nein,N.A.,NA,N.A.
dvo,DVO,1,m,N.A.,N.A.,Berlin,Berlin,16.519,nein,N.A.,2006,N.A.
evil,Evil Goat,1,m,N.A.,N.A.,Brandenburg,N.A.,N.A.,nein,N.A.,2013,N.A.
frey,Freya,1,w,N.A.,N.A.,N.A.,N.A.,1.618,N.A.,N.A.,NA,N.A.
gals,Galstarr (Absztrakkt),1,m,45,Neue Weltordnung,Nordrhein-Westfalen,Kärnten,4.976,ja,bhuddistisch,2001,N.A.
gem,Gemmi,1,m,39,N.A.,Bayern,Bayern,4.500,nein,N.A.,2014,N.A.
goet,Goethe,1,m,37,N.A.,Nordrhein-Westfalen,Nordrhein-Westfalen,2.888,nein,N.A.,2012,N.A.
gory,Gory Gore,1,m,N.A.,N.A.,Nordrhein-Westfalen,Nordrhein-Westfalen,134,nein,N.A.,2004,N.A.
gzuz,Gzuz,1,m,35,N.A.,Hamburg,Hamburg,2.776.551,ja,N.A.,2006,N.A.
haft,Haftbefehl,1,m,39,N.A.,Dubai,Hessen,2.348.734,ja,N.A.,N.A.,N.A.
herz,Herzog,1,m,39,N.A.,Berlin,Berlin,148.289,ja,N.A.,N.A.,N.A.
holy,holy smokez,1,m,43,N.A.,Hamburg,Hamburg,2.229,nein,N.A.,N.A.,N.A.
isa,"Isabel ""Bella"" Soares",1,w,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
ills,Illstar,1,m,N.A.,N.A.,N.A.,N.A.,5,N.A.,N.A.,N.A.,N.A.
jens,Jens Herder,1,m,N.A.,Der R(h)einlän­ der,N.A.,Nordrhein-Westfalen,N.A.,N.A.,N.A.,N.A.,N.A.
joe,Joe Rilla (auch RILLA),1,m,49,N.A.,Berlin,Berlin-Marzahn,14.150,ja,N.A.,N.A.,N.A.
juli,Julia Juls,1,w,N.A.,Frauenbündnis Kandel,N.A.,N.A.,995,N.A.,N.A.,N.A.,N.A.
kava,Kavalier,1,m,N.A.,Identitäre Bewegung,Sachsen,N.A.,10.309,N.A.,N.A.,N.A.,N.A.
king,King Orgasmus One,1,m,44,N.A.,Berlin,Berlin,190.294,N.A.,N.A.,N.A.,N.A.
koll,Kollegah,1,m,40,N.A.,Hessen,Hessen,1.083.043,ja,islamisch,N.A.,N.A.
komb,Kombaat,1,m,NA,N.A.,Bayern,Tirol,539,ja,N.A.,N.A.,N.A.
komp,Komplott,1,m,31,Identitäre Bewegung,Baden-Württemberg,Baden-Württemberg,N.A.,N.A.,N.A.,N.A.,N.A.
kont,Kontra K,1,m,37,N.A.,Berlin,Berlin,3.567.270,ja,christlich,N.A.,N.A.
lapa,Lapaz,1,m,42,N.A.,Hessen,Nordrhein-Westfalen,2.955,N.A.,N.A.,N.A.,N.A.
magi,Magico,1,m,45,N.A.,N.A.,N.A.,1.629,ja,NA,N.A.,N.A.
maks,MaKss Damage (MKD),1,m,36,Der III. Weg,N.A.,Nordrhein-Westfalen,1.651,N.A.,N.A.,N.A.,N.A.
man,Manuellsen,1,m,45,Hells Angels,Nordrhein-Westfalen,Berlin,284.098,ja,islamisch,N.A.,N.A.
mea,Mea Liebe,1,w,37,N.A.,Berlin,Berlin,435,N.A.,N.A.,N.A.,N.A.
menx,Menx,1,m,NA,N.A.,N.A.,N.A.,3.644,N.A.,N.A.,N.A.,N.A.
micr,Mic Revolt,1,m,37,NPD-Sympathisant,Thüringen,Sachsen-Anhalt,N.A.,nein,N.A.,2012,2021
omik,Omik K.,1,m,35,Hells Angels,Sachsen,Kuba,17.867,nein,N.A.,2004,nein
phiz,Phizzo,1,m,43,N.A. ,Berlin,Berlin,3.101,nein,N.A. ,N.A.,nein
pie,Pie Kei,1,m,37,N.A. ,Sachsen,Sachsen,10.624,nein,N.A.,N.A.,nein
ptk,PTK,1,m,36,N.A. ,Berlin,Berlin,89.937,nein,N.A.,N.A.,nein
prim,Primus,1,m,25,IB Sympathisant,Nordrhein-Westfalen,Nordrhein-Westfalen,2.860,nein,N.A,2020,nein
prot,Prototyp,1,m,32,IB,Sachsen,Nordrhein-Westfalen,4.650,ja,N.A.,N.A.,nein
raw,R.a.W.,1,m,N.A.,Barnimer Freundschaft,Berlin,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
runa,Runa,1,w,30,IB Sympathisant,Sachsen,N.A.,5.634,nein,N.A.,2020,nein
sadi,Sadi Gent,1,m,N.A.,N.A.,Berlin,Berlin,15.212,nein,N.A. ,2013,nein
sash,Sash JM,1,m,36,N.A.,Niedersachsen,Ukraine,N.A.,ja,N.A.,N.A.,N.A.
schw,SchwrzVyce,1,m,39,AfD,Hessen,Hessen,21.503,N.A.,N.A,N.A.,N.A.
shim,Shiml,1,m,39,N.A,Bremen,Bremen,29.484,N.A.,N.A,N.A.,N.A.
sido,Sido,1,m,43,N.A,Berlin,Berlin,5.200.451,N.A.,N.A.,N.A.,N.A.
skin,Skinhäd,1,m,N.A,Skinheads,N.A.,N.A.,19.456,N.A.,christlich,N.A.,N.A.
skep,Skeptika,1,m,N.A,N.A,Nordrhein-Westfalen,Bayern,8.594,N.A.,N.A.,N.A.,N.A.
skun,Skunk Beatz,1,m,N.A,N.A,Berlin,Schweiz,261,N.A.,N.A.,N.A,N.A.
tai,Taichi,1,m,40,N.A,Berlin,Okzitanien,14.244,N.A.,N.A.,N.A,N.A.
tbu,TBurnA,1,m,42,N.A,Nordrhein-Westfalen,,1.952,ja,christlich,N.A.,N.A.
toni,Toni Tano,1,m,N.A,N.A,Mexiko,N.A.,1.618,ja,N.A.,N.A.,N.A.
tum,Tumani,1,m,40,N.A,Hessen,Hessen,653,N.A.,N.A.,N.A.,N.A.
twan,Twanie,1,m,37,Neue Weltordnung,N.A.,Schleswig-Holstein,1.621,N.A.,christlich,N.A.,N.A.
twin,Twin,1,m,40,Hooligan-Szene,Hessen,Hessen,37.988,N.A,N.A.,N.A.,N.A.
ukv,Ukvali,1,m,34,Neue Weltordnung,Hessen,Hessen,6.518,N.A,N.A.,N.A.,N.A.
urba,Urbanize,2,m,N.A,N.A,N.A.,Nordrhein-Westfalen,52.899,N.A,N.A.,2005,N.A.
vill,Villian051,1,m,N.A,Barnimer Freundschaft,Berlin,N.A.,N.A,ja,N.A.,N.A.,N.A.
xavi,Xavier Naidoo,1,m,53,N.A,Baden-Württemberg,Baden-Württemberg,618.667,ja,christlich,N.A.,N.A.
yann,Yannick D.,1,m,N.A,Neue Weltordnung,Hamburg,Schleswig-Holstein,2.578,N.A.,christlich,N.A.,N.A.
86ki,86 kiloherz,1,m,39,N.A,Berlin,Berlin,759,ja,N.A.,N.A.,N.A.
gond,G.O.N.D,3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.
schu,Schild & Schwert-Festival,3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2018,N.A.
nouv,NouVision Song contest,3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2021,N.A.
bomb,Bombenprodukt,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2009,N.A.
nds,Neuer Deutscher Standard,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2019,N.A.
takt,Taktstock Records,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2017,N.A.
svp,sub-version-production,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2000,N.A.
norr,No Return Records,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
reco,recordJet,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2008,N.A.
rata,Rat-a-tat Records,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
onen,One Nation Recordz,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
eine,Eine der Wenigen,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
rapb,Rapbellion,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2021,N.A.
new,NewDEF,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.
hate,Hatefuckmusic,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A,N.A.
tdnf,Tage der nationalen Bewegung,3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
